S.No,data,type,sensedAt,id_sensor
205,200,co2-concentration,2025-06-17T08:36:26,66ce60b3fb392de5096acc24
206,29,temp,2025-06-17T08:36:26,66ce60b3fb392de5096acc24
207,50,humidity,2025-06-17T08:36:26,66ce60b3fb392de5096acc24
208,200,co2-concentration,2025-06-17T08:39:29,66ce60b3fb392de5096acc24
209,29,temp,2025-06-17T08:39:29,66ce60b3fb392de5096acc24
210,50,humidity,2025-06-17T08:39:29,66ce60b3fb392de5096acc24
211,200,co2-concentration,2025-06-17T08:42:31,66ce60b3fb392de5096acc24
212,29,temp,2025-06-17T08:42:31,66ce60b3fb392de5096acc24
213,51,humidity,2025-06-17T08:42:31,66ce60b3fb392de5096acc24
214,200,co2-concentration,2025-06-17T08:45:34,66ce60b3fb392de5096acc24
215,29,temp,2025-06-17T08:45:34,66ce60b3fb392de5096acc24
216,51,humidity,2025-06-17T08:45:34,66ce60b3fb392de5096acc24
217,200,co2-concentration,2025-06-17T08:48:36,66ce60b3fb392de5096acc24
218,29,temp,2025-06-17T08:48:36,66ce60b3fb392de5096acc24
219,51,humidity,2025-06-17T08:48:36,66ce60b3fb392de5096acc24
220,200,co2-concentration,2025-06-17T08:51:39,66ce60b3fb392de5096acc24
221,29,temp,2025-06-17T08:51:39,66ce60b3fb392de5096acc24
222,50,humidity,2025-06-17T08:51:39,66ce60b3fb392de5096acc24
223,200,co2-concentration,2025-06-17T08:54:42,66ce60b3fb392de5096acc24
224,29,temp,2025-06-17T08:54:42,66ce60b3fb392de5096acc24
225,51,humidity,2025-06-17T08:54:42,66ce60b3fb392de5096acc24
226,200,co2-concentration,2025-06-17T08:57:53,66ce60b3fb392de5096acc24
227,29,temp,2025-06-17T08:57:53,66ce60b3fb392de5096acc24
228,51,humidity,2025-06-17T08:57:53,66ce60b3fb392de5096acc24
229,200,co2-concentration,2025-06-17T09:00:57,66ce60b3fb392de5096acc24
230,29,temp,2025-06-17T09:00:57,66ce60b3fb392de5096acc24
231,51,humidity,2025-06-17T09:00:57,66ce60b3fb392de5096acc24
232,200,co2-concentration,2025-06-17T09:04:00,66ce60b3fb392de5096acc24
233,29,temp,2025-06-17T09:04:00,66ce60b3fb392de5096acc24
234,51,humidity,2025-06-17T09:04:00,66ce60b3fb392de5096acc24
235,200,co2-concentration,2025-06-17T09:07:02,66ce60b3fb392de5096acc24
236,29,temp,2025-06-17T09:07:02,66ce60b3fb392de5096acc24
237,51,humidity,2025-06-17T09:07:02,66ce60b3fb392de5096acc24
238,200,co2-concentration,2025-06-17T09:10:05,66ce60b3fb392de5096acc24
239,29,temp,2025-06-17T09:10:05,66ce60b3fb392de5096acc24
240,51,humidity,2025-06-17T09:10:05,66ce60b3fb392de5096acc24
241,200,co2-concentration,2025-06-17T09:13:13,66ce60b3fb392de5096acc24
242,29,temp,2025-06-17T09:13:13,66ce60b3fb392de5096acc24
243,51,humidity,2025-06-17T09:13:13,66ce60b3fb392de5096acc24
244,200,co2-concentration,2025-06-17T09:16:16,66ce60b3fb392de5096acc24
245,29,temp,2025-06-17T09:16:16,66ce60b3fb392de5096acc24
246,51,humidity,2025-06-17T09:16:16,66ce60b3fb392de5096acc24
247,200,co2-concentration,2025-06-17T09:19:20,66ce60b3fb392de5096acc24
248,29,temp,2025-06-17T09:19:20,66ce60b3fb392de5096acc24
249,51,humidity,2025-06-17T09:19:20,66ce60b3fb392de5096acc24
250,200,co2-concentration,2025-06-17T09:22:25,66ce60b3fb392de5096acc24
