S.No,data,type,sensedAt,id_sensor
153,54,humidity,2025-06-17T07:29:43,66ce6057fb392de5096aca27
154,3234.91,co2-concentration,2025-06-17T07:32:54,66ce6057fb392de5096aca27
155,30,temp,2025-06-17T07:32:54,66ce6057fb392de5096aca27
156,54,humidity,2025-06-17T07:32:54,66ce6057fb392de5096aca27
157,2402.92,co2-concentration,2025-06-17T07:35:56,66ce6057fb392de5096aca27
158,30,temp,2025-06-17T07:35:56,66ce6057fb392de5096aca27
159,54,humidity,2025-06-17T07:35:56,66ce6057fb392de5096aca27
160,2487.89,co2-concentration,2025-06-17T07:38:58,66ce6057fb392de5096aca27
161,30,temp,2025-06-17T07:38:58,66ce6057fb392de5096aca27
162,54,humidity,2025-06-17T07:38:58,66ce6057fb392de5096aca27
163,3134.83,co2-concentration,2025-06-17T07:42:01,66ce6057fb392de5096aca27
164,30,temp,2025-06-17T07:42:01,66ce6057fb392de5096aca27
165,54,humidity,2025-06-17T07:42:01,66ce6057fb392de5096aca27
166,3336.96,co2-concentration,2025-06-17T07:45:03,66ce6057fb392de5096aca27
167,30,temp,2025-06-17T07:45:03,66ce6057fb392de5096aca27
168,54,humidity,2025-06-17T07:45:03,66ce6057fb392de5096aca27
169,2574.69,co2-concentration,2025-06-17T07:48:05,66ce6057fb392de5096aca27
170,30,temp,2025-06-17T07:48:05,66ce6057fb392de5096aca27
171,54,humidity,2025-06-17T07:48:05,66ce6057fb392de5096aca27
172,3234.91,co2-concentration,2025-06-17T07:51:07,66ce6057fb392de5096aca27
173,30,temp,2025-06-17T07:51:07,66ce6057fb392de5096aca27
174,54,humidity,2025-06-17T07:51:07,66ce6057fb392de5096aca27
175,3234.91,co2-concentration,2025-06-17T07:54:10,66ce6057fb392de5096aca27
176,30,temp,2025-06-17T07:54:10,66ce6057fb392de5096aca27
177,54,humidity,2025-06-17T07:54:10,66ce6057fb392de5096aca27
178,3234.91,co2-concentration,2025-06-17T07:57:12,66ce6057fb392de5096aca27
179,30,temp,2025-06-17T07:57:12,66ce6057fb392de5096aca27
180,54,humidity,2025-06-17T07:57:12,66ce6057fb392de5096aca27
181,2663.33,co2-concentration,2025-06-17T08:00:15,66ce6057fb392de5096aca27
182,30,temp,2025-06-17T08:00:15,66ce6057fb392de5096aca27
183,54,humidity,2025-06-17T08:00:15,66ce6057fb392de5096aca27
184,2753.83,co2-concentration,2025-06-17T08:03:17,66ce6057fb392de5096aca27
185,30,temp,2025-06-17T08:03:17,66ce6057fb392de5096aca27
186,54,humidity,2025-06-17T08:03:17,66ce6057fb392de5096aca27
187,3440.99,co2-concentration,2025-06-17T08:06:20,66ce6057fb392de5096aca27
188,30,temp,2025-06-17T08:06:20,66ce6057fb392de5096aca27
189,54,humidity,2025-06-17T08:06:20,66ce6057fb392de5096aca27
190,3440.99,co2-concentration,2025-06-17T08:09:22,66ce6057fb392de5096aca27
191,30,temp,2025-06-17T08:09:22,66ce6057fb392de5096aca27
192,54,humidity,2025-06-17T08:09:22,66ce6057fb392de5096aca27
193,2402.92,co2-concentration,2025-06-17T08:12:25,66ce6057fb392de5096aca27
194,30,temp,2025-06-17T08:12:25,66ce6057fb392de5096aca27
195,54,humidity,2025-06-17T08:12:25,66ce6057fb392de5096aca27
196,3336.96,co2-concentration,2025-06-17T08:15:27,66ce6057fb392de5096aca27
197,30,temp,2025-06-17T08:15:27,66ce6057fb392de5096aca27
198,54,humidity,2025-06-17T08:15:27,66ce6057fb392de5096aca27
199,3336.96,co2-concentration,2025-06-17T08:18:29,66ce6057fb392de5096aca27
200,30,temp,2025-06-17T08:18:29,66ce6057fb392de5096aca27
201,54,humidity,2025-06-17T08:18:29,66ce6057fb392de5096aca27
202,3440.99,co2-concentration,2025-06-17T08:21:31,66ce6057fb392de5096aca27
203,30,temp,2025-06-17T08:21:31,66ce6057fb392de5096aca27
204,54,humidity,2025-06-17T08:21:31,66ce6057fb392de5096aca27
205,3036.7,co2-concentration,2025-06-17T08:24:34,66ce6057fb392de5096aca27
206,30,temp,2025-06-17T08:24:34,66ce6057fb392de5096aca27
207,54,humidity,2025-06-17T08:24:34,66ce6057fb392de5096aca27
208,3134.83,co2-concentration,2025-06-17T08:27:36,66ce6057fb392de5096aca27
209,30,temp,2025-06-17T08:27:36,66ce6057fb392de5096aca27
210,54,humidity,2025-06-17T08:27:36,66ce6057fb392de5096aca27
211,2846.22,co2-concentration,2025-06-17T08:30:38,66ce6057fb392de5096aca27
212,30,temp,2025-06-17T08:30:38,66ce6057fb392de5096aca27
213,54,humidity,2025-06-17T08:30:38,66ce6057fb392de5096aca27
214,3336.96,co2-concentration,2025-06-17T08:33:40,66ce6057fb392de5096aca27
215,30,temp,2025-06-17T08:33:40,66ce6057fb392de5096aca27
216,54,humidity,2025-06-17T08:33:40,66ce6057fb392de5096aca27
217,3234.91,co2-concentration,2025-06-17T08:36:43,66ce6057fb392de5096aca27
218,30,temp,2025-06-17T08:36:43,66ce6057fb392de5096aca27
219,54,humidity,2025-06-17T08:36:43,66ce6057fb392de5096aca27
